id,name,duration,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,danceability
4ZtFanR9U6ndgddUvNcjcG,Good 4 U Olivia Rodrigo,2.97,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,0.563
5fxyZf6m2xHeSrOzUfcJrq,Stay The Kid LAROI & Justin Bieber,2.3,0.506,8,-11.275,1,0.0589,0.379,0.868,0.11,0.454,170.054,0.564
5nujrmhLynf4yMoMtj8AQF,Levitating Dua Lipa feat. DaBaby,3.38,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,0.702
4iJyoBOLtHqaGxP12qzhQI,Peaches Justin Bieber feat. Daniel Caesar & Giveon,3.3,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,0.677
1SC5rEoYDGUK4NfG82494W,Montero (Call Me By Your Name) Lil Nas X,2.3,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,0.593
3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA) Doja Cat,3.48,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,0.764
02VBYrHfVwfEWXk5DXyf0T,Leave The Door Open Silk Sonic (Bruno Mars & Anderson .Paak),4.03,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,0.586
5wANPM4fQCJwkGd4rN57mH,drivers license Olivia Rodrigo,4.03,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,0.561
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights The Weeknd,3.33,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,0.514
6HU7h9RYOaPRFeh0R3UeAr,Deja Vu Olivia Rodrigo,3.59,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,0.442
6f3Slt0GbA2bPZlz0aIFXN,The Business Tiësto,2.73,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,0.798
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean Masked Wolf,2.21,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,0.778
18vXApRmJSgQ6wG2ll9AOg,Rapstar Polo G,2.77,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,0.789
5zFglKYiknIxks8geR8rcL,Beautiful Mistakes (feat. Megan Thee Stallion) Maroon 5,3.79,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,0.713
27tDoZsybt3KvJWTDoW9id,Heartbreak Anniversary Giveon,3.31,0.459,0,-8.955,1,0.074,0.546,1.05e-06,0.307,0.565,87.064,0.443
02MWAaffLxlfxAUY7c5dvx,Heat Waves Glass Animals,3.98,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,0.761
7mmYQV0o7sW0pM8rNd3mLG,Without You (with Miley Cyrus) The Kid LAROI & Miley Cyrus,2.71,0.42,0,-7.98,1,0.0334,0.834,0.927,0.264,0.603,90.995,0.569
4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior) 24kGoldn,2.34,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,0.701
7tZHEwEYKcI3kJLi9RQJL3,"Fiel Los Legendarios, Wisin & Jhay Cortez",4.27,0.43,6,-7.477,0,0.0255,0.735,0.941,0.124,0.3,97.976,0.685
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar Harry Styles,2.9,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,0.548
1Xi84slp6FryDSCbzq4UCD,Arcade Duncan Laurence,3.06,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,0.45
5rZlwNFl01HqLWBQGryKSm,Mood Swings (feat. Lil Tjay) Pop Smoke,3.56,0.602,10,-6.335,0,0.368,0.487,0.0,0.0848,0.269,179.798,0.48
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby) Dua Lipa,3.38,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,0.702
4fSIb4hdOQ151TILNsSEaF,Todo De Ti Rauw Alejandro,3.33,0.718,3,-3.605,0,0.0506,0.31,0.000163,0.0932,0.342,127.949,0.78
3Wrjm47oTz2sjIgck11l5e,Beggin' Måneskin,3.53,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,0.714
7e1VoRlNumuEkXlITMHKLE,"Me Gusta Anitta, Cardi B & Myke Towers",3.01,0.604,6,-4.392,0,0.082,0.448,0.0,0.0863,0.807,110.075,0.91
2VS1VIq1t7zTVKKc0YV0fo,Famous Friends Chris Young + Kane Brown,2.74,0.513,6,-8.619,1,0.0311,0.101,1.66e-06,0.131,0.685,102.04,0.717
6IBcOGPsniK3Pso1wHIhew,Forever After All Luke Combs,3.88,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,0.487
2P2kJEIAXutA2J7DXW1Wux,LA CANCIÓN J Balvin & Bad Bunny,4.04,0.646,7,-5.795,1,0.319,0.152,1.81e-05,0.108,0.429,176.088,0.756
7qEHsqek33rTcFNT9PFqLf,Someone You Loved Lewis Capaldi,3.04,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,0.501
3Vi5XqYrmQgOYBajMWSvCi,Need To Know Doja Cat,3.51,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,0.664
4eAtgAE8EJ8tBQsAnZEonX,Blinding Lights - 2019 The Weeknd,3.31,0.517,5,-11.58,0,0.0405,0.0015,2.33e-05,0.118,0.438,171.012,0.609
5nujrmhLynf4yMoMtj8AQF,Levitating Dua Lipa,3.38,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,0.702
50nfwKoDiSYg8zOCREWAm5,Shivers Ed Sheeran,3.46,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,0.788
